Subject,TrialIndex,AttendedEar,TargetWav,InterfererWav,EEGFile,OriginalMat
S1,19,L,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S1Tra20.npy,S1.mat
S10,0,L,part1_track1_dry.wav,part1_track2_dry.wav,S10Tra1.npy,S10.mat
S10,1,R,part2_track1_dry.wav,part2_track2_dry.wav,S10Tra2.npy,S10.mat
S10,2,L,part3_track1_dry.wav,part3_track2_dry.wav,S10Tra3.npy,S10.mat
S10,3,R,part4_track1_dry.wav,part4_track2_dry.wav,S10Tra4.npy,S10.mat
S10,4,L,part1_track2_dry.wav,part1_track1_dry.wav,S10Tra5.npy,S10.mat
S10,5,R,part2_track2_dry.wav,part2_track1_dry.wav,S10Tra6.npy,S10.mat
S10,6,L,part3_track2_dry.wav,part3_track1_dry.wav,S10Tra7.npy,S10.mat
S10,7,R,part4_track2_dry.wav,part4_track1_dry.wav,S10Tra8.npy,S10.mat
S10,8,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S10Tra9.npy,S10.mat
S10,9,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S10Tra10.npy,S10.mat
S10,10,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S10Tra11.npy,S10.mat
S10,11,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S10Tra12.npy,S10.mat
S10,12,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S10Tra13.npy,S10.mat
S10,13,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S10Tra14.npy,S10.mat
S10,14,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S10Tra15.npy,S10.mat
S10,15,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S10Tra16.npy,S10.mat
S10,16,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S10Tra17.npy,S10.mat
S10,17,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S10Tra18.npy,S10.mat
S10,18,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S10Tra19.npy,S10.mat
S10,19,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S10Tra20.npy,S10.mat
S11,0,R,part1_track1_dry.wav,part1_track2_dry.wav,S11Tra1.npy,S11.mat
S11,1,L,part2_track1_dry.wav,part2_track2_dry.wav,S11Tra2.npy,S11.mat
S11,2,R,part3_track1_dry.wav,part3_track2_dry.wav,S11Tra3.npy,S11.mat
S11,3,L,part4_track1_dry.wav,part4_track2_dry.wav,S11Tra4.npy,S11.mat
S11,4,R,part1_track2_dry.wav,part1_track1_dry.wav,S11Tra5.npy,S11.mat
S11,5,L,part2_track2_dry.wav,part2_track1_dry.wav,S11Tra6.npy,S11.mat
S11,6,R,part3_track2_dry.wav,part3_track1_dry.wav,S11Tra7.npy,S11.mat
S11,7,L,part4_track2_dry.wav,part4_track1_dry.wav,S11Tra8.npy,S11.mat
S11,8,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S11Tra9.npy,S11.mat
S11,9,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S11Tra10.npy,S11.mat
S11,10,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S11Tra11.npy,S11.mat
S11,11,L,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S11Tra12.npy,S11.mat
S11,12,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S11Tra13.npy,S11.mat
S11,13,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S11Tra14.npy,S11.mat
S11,14,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S11Tra15.npy,S11.mat
S11,15,L,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S11Tra16.npy,S11.mat
S11,16,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S11Tra17.npy,S11.mat
S11,17,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S11Tra18.npy,S11.mat
S11,18,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S11Tra19.npy,S11.mat
S11,19,L,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S11Tra20.npy,S11.mat
S12,0,L,part1_track1_dry.wav,part1_track2_dry.wav,S12Tra1.npy,S12.mat
S12,1,R,part2_track1_dry.wav,part2_track2_dry.wav,S12Tra2.npy,S12.mat
S12,2,L,part3_track1_dry.wav,part3_track2_dry.wav,S12Tra3.npy,S12.mat
S12,3,R,part4_track1_dry.wav,part4_track2_dry.wav,S12Tra4.npy,S12.mat
S12,4,L,part1_track2_dry.wav,part1_track1_dry.wav,S12Tra5.npy,S12.mat
S12,5,R,part2_track2_dry.wav,part2_track1_dry.wav,S12Tra6.npy,S12.mat
S12,6,L,part3_track2_dry.wav,part3_track1_dry.wav,S12Tra7.npy,S12.mat
S12,7,R,part4_track2_dry.wav,part4_track1_dry.wav,S12Tra8.npy,S12.mat
S12,8,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S12Tra9.npy,S12.mat
S12,9,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S12Tra10.npy,S12.mat
S12,10,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S12Tra11.npy,S12.mat
S12,11,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S12Tra12.npy,S12.mat
S12,12,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S12Tra13.npy,S12.mat
S12,13,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S12Tra14.npy,S12.mat
S12,14,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S12Tra15.npy,S12.mat
S12,15,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S12Tra16.npy,S12.mat
S12,16,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S12Tra17.npy,S12.mat
S12,17,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S12Tra18.npy,S12.mat
S12,18,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S12Tra19.npy,S12.mat
S12,19,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S12Tra20.npy,S12.mat
S13,0,R,part1_track1_dry.wav,part1_track2_dry.wav,S13Tra1.npy,S13.mat
S13,1,L,part2_track1_dry.wav,part2_track2_dry.wav,S13Tra2.npy,S13.mat
S13,2,R,part3_track1_dry.wav,part3_track2_dry.wav,S13Tra3.npy,S13.mat
S13,3,L,part4_track1_dry.wav,part4_track2_dry.wav,S13Tra4.npy,S13.mat
S13,4,R,part1_track2_dry.wav,part1_track1_dry.wav,S13Tra5.npy,S13.mat
S13,5,L,part2_track2_dry.wav,part2_track1_dry.wav,S13Tra6.npy,S13.mat
S13,6,R,part3_track2_dry.wav,part3_track1_dry.wav,S13Tra7.npy,S13.mat
S13,7,L,part4_track2_dry.wav,part4_track1_dry.wav,S13Tra8.npy,S13.mat
S13,8,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S13Tra9.npy,S13.mat
S13,9,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S13Tra10.npy,S13.mat
S13,10,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S13Tra11.npy,S13.mat
S13,11,L,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S13Tra12.npy,S13.mat
S13,12,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S13Tra13.npy,S13.mat
S13,13,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S13Tra14.npy,S13.mat
S13,14,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S13Tra15.npy,S13.mat
S13,15,L,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S13Tra16.npy,S13.mat
S13,16,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S13Tra17.npy,S13.mat
S13,17,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S13Tra18.npy,S13.mat
S13,18,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S13Tra19.npy,S13.mat
S13,19,L,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S13Tra20.npy,S13.mat
S14,0,L,part1_track1_dry.wav,part1_track2_dry.wav,S14Tra1.npy,S14.mat
S14,1,R,part2_track1_dry.wav,part2_track2_dry.wav,S14Tra2.npy,S14.mat
S14,2,L,part3_track1_dry.wav,part3_track2_dry.wav,S14Tra3.npy,S14.mat
S14,3,R,part4_track1_dry.wav,part4_track2_dry.wav,S14Tra4.npy,S14.mat
S14,4,L,part1_track2_dry.wav,part1_track1_dry.wav,S14Tra5.npy,S14.mat
S14,5,R,part2_track2_dry.wav,part2_track1_dry.wav,S14Tra6.npy,S14.mat
S14,6,L,part3_track2_dry.wav,part3_track1_dry.wav,S14Tra7.npy,S14.mat
S14,7,R,part4_track2_dry.wav,part4_track1_dry.wav,S14Tra8.npy,S14.mat
S14,8,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S14Tra9.npy,S14.mat
S14,9,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S14Tra10.npy,S14.mat
S14,10,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S14Tra11.npy,S14.mat
S14,11,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S14Tra12.npy,S14.mat
S14,12,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S14Tra13.npy,S14.mat
S14,13,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S14Tra14.npy,S14.mat
S14,14,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S14Tra15.npy,S14.mat
S14,15,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S14Tra16.npy,S14.mat
S14,16,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S14Tra17.npy,S14.mat
S14,17,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S14Tra18.npy,S14.mat
S14,18,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S14Tra19.npy,S14.mat
S14,19,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S14Tra20.npy,S14.mat
S15,0,R,part1_track1_dry.wav,part1_track2_dry.wav,S15Tra1.npy,S15.mat
S15,1,L,part2_track1_dry.wav,part2_track2_dry.wav,S15Tra2.npy,S15.mat
S15,2,R,part3_track1_dry.wav,part3_track2_dry.wav,S15Tra3.npy,S15.mat
S15,3,L,part4_track1_dry.wav,part4_track2_dry.wav,S15Tra4.npy,S15.mat
S15,4,R,part1_track2_dry.wav,part1_track1_dry.wav,S15Tra5.npy,S15.mat
S15,5,L,part2_track2_dry.wav,part2_track1_dry.wav,S15Tra6.npy,S15.mat
S15,6,R,part3_track2_dry.wav,part3_track1_dry.wav,S15Tra7.npy,S15.mat
S15,7,L,part4_track2_dry.wav,part4_track1_dry.wav,S15Tra8.npy,S15.mat
S15,8,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S15Tra9.npy,S15.mat
S15,9,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S15Tra10.npy,S15.mat
S15,10,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S15Tra11.npy,S15.mat
S15,11,L,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S15Tra12.npy,S15.mat
S15,12,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S15Tra13.npy,S15.mat
S15,13,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S15Tra14.npy,S15.mat
S15,14,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S15Tra15.npy,S15.mat
S15,15,L,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S15Tra16.npy,S15.mat
S15,16,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S15Tra17.npy,S15.mat
S15,17,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S15Tra18.npy,S15.mat
S15,18,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S15Tra19.npy,S15.mat
S15,19,L,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S15Tra20.npy,S15.mat
S16,0,L,part1_track1_dry.wav,part1_track2_dry.wav,S16Tra1.npy,S16.mat
S16,1,R,part2_track1_dry.wav,part2_track2_dry.wav,S16Tra2.npy,S16.mat
S16,2,L,part3_track1_dry.wav,part3_track2_dry.wav,S16Tra3.npy,S16.mat
S16,3,R,part4_track1_dry.wav,part4_track2_dry.wav,S16Tra4.npy,S16.mat
S16,4,L,part1_track2_dry.wav,part1_track1_dry.wav,S16Tra5.npy,S16.mat
S16,5,R,part2_track2_dry.wav,part2_track1_dry.wav,S16Tra6.npy,S16.mat
S16,6,L,part3_track2_dry.wav,part3_track1_dry.wav,S16Tra7.npy,S16.mat
S16,7,R,part4_track2_dry.wav,part4_track1_dry.wav,S16Tra8.npy,S16.mat
S16,8,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S16Tra9.npy,S16.mat
S16,9,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S16Tra10.npy,S16.mat
S16,10,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S16Tra11.npy,S16.mat
S16,11,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S16Tra12.npy,S16.mat
S16,12,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S16Tra13.npy,S16.mat
S16,13,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S16Tra14.npy,S16.mat
S16,14,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S16Tra15.npy,S16.mat
S16,15,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S16Tra16.npy,S16.mat
S16,16,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S16Tra17.npy,S16.mat
S16,17,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S16Tra18.npy,S16.mat
S16,18,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S16Tra19.npy,S16.mat
S16,19,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S16Tra20.npy,S16.mat
S2,0,L,part1_track1_dry.wav,part1_track2_dry.wav,S2Tra1.npy,S2.mat
S2,1,R,part2_track1_dry.wav,part2_track2_dry.wav,S2Tra2.npy,S2.mat
S2,2,L,part3_track1_dry.wav,part3_track2_dry.wav,S2Tra3.npy,S2.mat
S2,3,R,part4_track1_dry.wav,part4_track2_dry.wav,S2Tra4.npy,S2.mat
S2,4,L,part1_track2_dry.wav,part1_track1_dry.wav,S2Tra5.npy,S2.mat
S2,5,R,part2_track2_dry.wav,part2_track1_dry.wav,S2Tra6.npy,S2.mat
S2,6,L,part3_track2_dry.wav,part3_track1_dry.wav,S2Tra7.npy,S2.mat
S2,7,R,part4_track2_dry.wav,part4_track1_dry.wav,S2Tra8.npy,S2.mat
S2,8,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S2Tra9.npy,S2.mat
S2,9,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S2Tra10.npy,S2.mat
S2,10,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S2Tra11.npy,S2.mat
S2,11,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S2Tra12.npy,S2.mat
S2,12,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S2Tra13.npy,S2.mat
S2,13,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S2Tra14.npy,S2.mat
S2,14,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S2Tra15.npy,S2.mat
S2,15,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S2Tra16.npy,S2.mat
S2,16,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S2Tra17.npy,S2.mat
S2,17,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S2Tra18.npy,S2.mat
S2,18,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S2Tra19.npy,S2.mat
S2,19,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S2Tra20.npy,S2.mat
S3,0,R,part1_track1_dry.wav,part1_track2_dry.wav,S3Tra1.npy,S3.mat
S3,1,L,part2_track1_dry.wav,part2_track2_dry.wav,S3Tra2.npy,S3.mat
S3,2,R,part3_track1_dry.wav,part3_track2_dry.wav,S3Tra3.npy,S3.mat
S3,3,L,part4_track1_dry.wav,part4_track2_dry.wav,S3Tra4.npy,S3.mat
S3,4,R,part1_track2_dry.wav,part1_track1_dry.wav,S3Tra5.npy,S3.mat
S3,5,L,part2_track2_dry.wav,part2_track1_dry.wav,S3Tra6.npy,S3.mat
S3,6,R,part3_track2_dry.wav,part3_track1_dry.wav,S3Tra7.npy,S3.mat
S3,7,L,part4_track2_dry.wav,part4_track1_dry.wav,S3Tra8.npy,S3.mat
S3,8,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S3Tra9.npy,S3.mat
S3,9,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S3Tra10.npy,S3.mat
S3,10,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S3Tra11.npy,S3.mat
S3,11,L,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S3Tra12.npy,S3.mat
S3,12,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S3Tra13.npy,S3.mat
S3,13,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S3Tra14.npy,S3.mat
S3,14,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S3Tra15.npy,S3.mat
S3,15,L,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S3Tra16.npy,S3.mat
S3,16,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S3Tra17.npy,S3.mat
S3,17,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S3Tra18.npy,S3.mat
S3,18,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S3Tra19.npy,S3.mat
S3,19,L,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S3Tra20.npy,S3.mat
S4,0,L,part1_track1_dry.wav,part1_track2_dry.wav,S4Tra1.npy,S4.mat
S4,1,R,part2_track1_dry.wav,part2_track2_dry.wav,S4Tra2.npy,S4.mat
S4,2,L,part3_track1_dry.wav,part3_track2_dry.wav,S4Tra3.npy,S4.mat
S4,3,R,part4_track1_dry.wav,part4_track2_dry.wav,S4Tra4.npy,S4.mat
S4,4,L,part1_track2_dry.wav,part1_track1_dry.wav,S4Tra5.npy,S4.mat
S4,5,R,part2_track2_dry.wav,part2_track1_dry.wav,S4Tra6.npy,S4.mat
S4,6,L,part3_track2_dry.wav,part3_track1_dry.wav,S4Tra7.npy,S4.mat
S4,7,R,part4_track2_dry.wav,part4_track1_dry.wav,S4Tra8.npy,S4.mat
S4,8,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S4Tra9.npy,S4.mat
S4,9,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S4Tra10.npy,S4.mat
S4,10,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S4Tra11.npy,S4.mat
S4,11,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S4Tra12.npy,S4.mat
S4,12,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S4Tra13.npy,S4.mat
S4,13,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S4Tra14.npy,S4.mat
S4,14,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S4Tra15.npy,S4.mat
S4,15,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S4Tra16.npy,S4.mat
S4,16,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S4Tra17.npy,S4.mat
S4,17,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S4Tra18.npy,S4.mat
S4,18,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S4Tra19.npy,S4.mat
S4,19,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S4Tra20.npy,S4.mat
S5,0,R,part1_track1_dry.wav,part1_track2_dry.wav,S5Tra1.npy,S5.mat
S5,1,L,part2_track1_dry.wav,part2_track2_dry.wav,S5Tra2.npy,S5.mat
S5,2,R,part3_track1_dry.wav,part3_track2_dry.wav,S5Tra3.npy,S5.mat
S5,3,L,part4_track1_dry.wav,part4_track2_dry.wav,S5Tra4.npy,S5.mat
S5,4,R,part1_track2_dry.wav,part1_track1_dry.wav,S5Tra5.npy,S5.mat
S5,5,L,part2_track2_dry.wav,part2_track1_dry.wav,S5Tra6.npy,S5.mat
S5,6,R,part3_track2_dry.wav,part3_track1_dry.wav,S5Tra7.npy,S5.mat
S5,7,L,part4_track2_dry.wav,part4_track1_dry.wav,S5Tra8.npy,S5.mat
S5,8,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S5Tra9.npy,S5.mat
S5,9,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S5Tra10.npy,S5.mat
S5,10,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S5Tra11.npy,S5.mat
S5,11,L,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S5Tra12.npy,S5.mat
S5,12,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S5Tra13.npy,S5.mat
S5,13,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S5Tra14.npy,S5.mat
S5,14,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S5Tra15.npy,S5.mat
S5,15,L,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S5Tra16.npy,S5.mat
S5,16,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S5Tra17.npy,S5.mat
S5,17,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S5Tra18.npy,S5.mat
S5,18,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S5Tra19.npy,S5.mat
S5,19,L,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S5Tra20.npy,S5.mat
S6,0,L,part1_track1_dry.wav,part1_track2_dry.wav,S6Tra1.npy,S6.mat
S6,1,R,part2_track1_dry.wav,part2_track2_dry.wav,S6Tra2.npy,S6.mat
S6,2,L,part3_track1_dry.wav,part3_track2_dry.wav,S6Tra3.npy,S6.mat
S6,3,R,part4_track1_dry.wav,part4_track2_dry.wav,S6Tra4.npy,S6.mat
S6,4,L,part1_track2_dry.wav,part1_track1_dry.wav,S6Tra5.npy,S6.mat
S6,5,R,part2_track2_dry.wav,part2_track1_dry.wav,S6Tra6.npy,S6.mat
S6,6,L,part3_track2_dry.wav,part3_track1_dry.wav,S6Tra7.npy,S6.mat
S6,7,R,part4_track2_dry.wav,part4_track1_dry.wav,S6Tra8.npy,S6.mat
S6,8,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S6Tra9.npy,S6.mat
S6,9,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S6Tra10.npy,S6.mat
S6,10,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S6Tra11.npy,S6.mat
S6,11,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S6Tra12.npy,S6.mat
S6,12,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S6Tra13.npy,S6.mat
S6,13,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S6Tra14.npy,S6.mat
S6,14,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S6Tra15.npy,S6.mat
S6,15,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S6Tra16.npy,S6.mat
S6,16,L,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S6Tra17.npy,S6.mat
S6,17,R,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S6Tra18.npy,S6.mat
S6,18,L,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S6Tra19.npy,S6.mat
S6,19,R,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S6Tra20.npy,S6.mat
S7,0,R,part1_track1_dry.wav,part1_track2_dry.wav,S7Tra1.npy,S7.mat
S7,1,L,part2_track1_dry.wav,part2_track2_dry.wav,S7Tra2.npy,S7.mat
S7,2,R,part3_track1_dry.wav,part3_track2_dry.wav,S7Tra3.npy,S7.mat
S7,3,L,part4_track1_dry.wav,part4_track2_dry.wav,S7Tra4.npy,S7.mat
S7,4,R,part1_track2_dry.wav,part1_track1_dry.wav,S7Tra5.npy,S7.mat
S7,5,L,part2_track2_dry.wav,part2_track1_dry.wav,S7Tra6.npy,S7.mat
S7,6,R,part3_track2_dry.wav,part3_track1_dry.wav,S7Tra7.npy,S7.mat
S7,7,L,part4_track2_dry.wav,part4_track1_dry.wav,S7Tra8.npy,S7.mat
S7,8,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S7Tra9.npy,S7.mat
S7,9,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S7Tra10.npy,S7.mat
S7,10,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S7Tra11.npy,S7.mat
S7,11,L,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S7Tra12.npy,S7.mat
S7,12,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S7Tra13.npy,S7.mat
S7,13,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S7Tra14.npy,S7.mat
S7,14,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S7Tra15.npy,S7.mat
